Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,CrisisEpileptica,1.0,20,260,eeg
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,PopElectrodo,1.0,20,260,eeg
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,ArtefactoMuscular,1.0,20,260,eeg
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,SupresionBrote,1.0,20,260,eeg
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,CanalDesconectado,1.0,20,260,eeg
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,ParpadeoOcular,1.0,20,260,eeg
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,InterferenciaRed,1.0,20,260,eeg
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0,CrisisEpileptica,1.0,20,260,eeg
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0,PopElectrodo,1.0,20,260,eeg
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0,ArtefactoMuscular,1.0,20,260,eeg
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0,SupresionBrote,1.0,20,260,eeg
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0,CanalDesconectado,1.0,20,260,eeg
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0,ParpadeoOcular,1.0,20,260,eeg
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0,InterferenciaRed,1.0,20,260,eeg
SigKernel_d3,Signatures,0.2071,0.1,0.6557,CrisisEpileptica,0.15,20,260,eeg
SigKernel_d3,Signatures,0.2071,0.1,0.6557,PopElectrodo,0.1,20,260,eeg
SigKernel_d3,Signatures,0.2071,0.1,0.6557,ArtefactoMuscular,0.0,20,260,eeg
SigKernel_d3,Signatures,0.2071,0.1,0.6557,SupresionBrote,0.0,20,260,eeg
SigKernel_d3,Signatures,0.2071,0.1,0.6557,CanalDesconectado,0.2,20,260,eeg
SigKernel_d3,Signatures,0.2071,0.1,0.6557,ParpadeoOcular,0.0,20,260,eeg
SigKernel_d3,Signatures,0.2071,0.1,0.6557,InterferenciaRed,1.0,20,260,eeg
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,CrisisEpileptica,1.0,20,260,eeg
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,PopElectrodo,1.0,20,260,eeg
