Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,EscaneoPuertos,1.0,20,320,it
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,Exfiltracion,1.0,20,320,it
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,DegradacionDisco,1.0,20,320,it
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,DDoS,1.0,20,320,it
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,FugaMemoria,1.0,20,320,it
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,CaidaServicio,1.0,20,320,it
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,CriptoMineria,1.0,20,320,it
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,EscaneoPuertos,1.0,20,320,it
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,Exfiltracion,1.0,20,320,it
SigMaHaKNN_d3_k20,Signatures,1.0,0.1,0.0,DegradacionDisco,1.0,20,320,it
SigConformancia_d2,Signatures,0.6071,0.1,0.0012,DDoS,0.15,20,320,it
SigConformancia_d2,Signatures,0.6071,0.1,0.0012,FugaMemoria,1.0,20,320,it
SigConformancia_d2,Signatures,0.6071,0.1,0.0012,CaidaServicio,0.2,20,320,it
SigConformancia_d2,Signatures,0.6071,0.1,0.0012,CriptoMineria,0.9,20,320,it
SigConformancia_d2,Signatures,0.6071,0.1,0.0012,EscaneoPuertos,0.45,20,320,it
SigConformancia_d2,Signatures,0.6071,0.1,0.0012,Exfiltracion,0.55,20,320,it
SigConformancia_d2,Signatures,0.6071,0.1,0.0012,DegradacionDisco,1.0,20,320,it
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,DDoS,1.0,20,320,it
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,FugaMemoria,1.0,20,320,it
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,CaidaServicio,1.0,20,320,it
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,CriptoMineria,1.0,20,320,it
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,EscaneoPuertos,1.0,20,320,it
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,Exfiltracion,1.0,20,320,it
LogSigMaHa_d2,Signatures,1.0,0.1,0.0,DegradacionDisco,1.0,20,320,it
