casa_idx,tipo,detector,familia,score_raw,score_norm,tau_norm,detectado
8,SuddenDrop,GMM,A-Estadistico,0.167906,0.0,0.968504,False
8,SyntheticNoise,GMM,A-Estadistico,0.149044,0.0,0.968504,False
8,FlatLine,GMM,A-Estadistico,0.264026,0.061387,0.968504,False
8,SpikeEvent,GMM,A-Estadistico,0.520955,0.389415,0.968504,False
9,normal,GMM,A-Estadistico,0.505629,0.369847,0.968504,False
9,PartialBypass,GMM,A-Estadistico,0.042497,0.0,0.968504,False
9,Smoothing,GMM,A-Estadistico,0.311773,0.122346,0.968504,False
9,FlipSchedule,GMM,A-Estadistico,0.896219,0.868525,0.968504,False
9,SuddenDrop,GMM,A-Estadistico,0.155647,0.0,0.968504,False
9,SyntheticNoise,GMM,A-Estadistico,0.508737,0.373815,0.968504,False
9,FlatLine,GMM,A-Estadistico,0.345475,0.165374,0.968504,False
9,SpikeEvent,GMM,A-Estadistico,1.0,1.001024,0.968504,True
0,normal,HDBSCAN,B-Clustering,0.169984,0.16174,0.887284,False
0,PartialBypass,HDBSCAN,B-Clustering,0.193865,0.186663,0.887284,False
0,Smoothing,HDBSCAN,B-Clustering,0.105522,0.094466,0.887284,False
0,FlipSchedule,HDBSCAN,B-Clustering,0.188904,0.181486,0.887284,False
0,SuddenDrop,HDBSCAN,B-Clustering,0.235268,0.229873,0.887284,False
0,SyntheticNoise,HDBSCAN,B-Clustering,0.176469,0.168508,0.887284,False
0,FlatLine,HDBSCAN,B-Clustering,0.258324,0.253934,0.887284,False
0,SpikeEvent,HDBSCAN,B-Clustering,0.221476,0.215479,0.887284,False
1,normal,HDBSCAN,B-Clustering,0.098074,0.086692,0.887284,False
1,PartialBypass,HDBSCAN,B-Clustering,0.144484,0.135128,0.887284,False
1,Smoothing,HDBSCAN,B-Clustering,0.064504,0.051657,0.887284,False
1,FlipSchedule,HDBSCAN,B-Clustering,0.288511,0.285439,0.887284,False
1,SuddenDrop,HDBSCAN,B-Clustering,0.231101,0.225523,0.887284,False
1,SyntheticNoise,HDBSCAN,B-Clustering,0.106679,0.095673,0.887284,False
1,FlatLine,HDBSCAN,B-Clustering,0.072419,0.059918,0.887284,False
1,SpikeEvent,HDBSCAN,B-Clustering,0.313357,0.311369,0.887284,False
2,normal,HDBSCAN,B-Clustering,0.016776,0.001847,0.887284,False
2,PartialBypass,HDBSCAN,B-Clustering,0.131844,0.121936,0.887284,False
2,Smoothing,HDBSCAN,B-Clustering,0.062511,0.049578,0.887284,False
2,FlipSchedule,HDBSCAN,B-Clustering,0.187559,0.180082,0.887284,False
2,SuddenDrop,HDBSCAN,B-Clustering,0.218853,0.212741,0.887284,False
2,SyntheticNoise,HDBSCAN,B-Clustering,0.016813,0.001886,0.887284,False
2,FlatLine,HDBSCAN,B-Clustering,0.148022,0.13882,0.887284,False
2,SpikeEvent,HDBSCAN,B-Clustering,0.075296,0.062921,0.887284,False
3,normal,HDBSCAN,B-Clustering,0.113197,0.102476,0.887284,False
3,PartialBypass,HDBSCAN,B-Clustering,0.176507,0.168548,0.887284,False
3,Smoothing,HDBSCAN,B-Clustering,0.044482,0.030763,0.887284,False
3,FlipSchedule,HDBSCAN,B-Clustering,0.326939,0.325543,0.887284,False
3,SuddenDrop,HDBSCAN,B-Clustering,0.21969,0.213615,0.887284,False
3,SyntheticNoise,HDBSCAN,B-Clustering,0.1141,0.103418,0.887284,False
3,FlatLine,HDBSCAN,B-Clustering,0.071242,0.05869,0.887284,False
3,SpikeEvent,HDBSCAN,B-Clustering,0.113197,0.102476,0.887284,False
4,normal,HDBSCAN,B-Clustering,0.0,0.0,0.887284,False
4,PartialBypass,HDBSCAN,B-Clustering,0.150098,0.140986,0.887284,False
4,Smoothing,HDBSCAN,B-Clustering,0.037456,0.023429,0.887284,False
4,FlipSchedule,HDBSCAN,B-Clustering,0.220441,0.214399,0.887284,False
4,SuddenDrop,HDBSCAN,B-Clustering,0.227238,0.221492,0.887284,False
4,SyntheticNoise,HDBSCAN,B-Clustering,0.006759,0.0,0.887284,False
4,FlatLine,HDBSCAN,B-Clustering,0.003232,0.0,0.887284,False
4,SpikeEvent,HDBSCAN,B-Clustering,0.151723,0.142683,0.887284,False
5,normal,HDBSCAN,B-Clustering,0.046002,0.032349,0.887284,False
5,PartialBypass,HDBSCAN,B-Clustering,0.09464,0.083109,0.887284,False
5,Smoothing,HDBSCAN,B-Clustering,0.049345,0.035838,0.887284,False
5,FlipSchedule,HDBSCAN,B-Clustering,0.112652,0.101906,0.887284,False
5,SuddenDrop,HDBSCAN,B-Clustering,0.233679,0.228214,0.887284,False
5,SyntheticNoise,HDBSCAN,B-Clustering,0.036851,0.022798,0.887284,False
5,FlatLine,HDBSCAN,B-Clustering,0.110422,0.099579,0.887284,False
5,SpikeEvent,HDBSCAN,B-Clustering,0.162475,0.153903,0.887284,False
6,normal,HDBSCAN,B-Clustering,0.081268,0.069153,0.887284,False
6,PartialBypass,HDBSCAN,B-Clustering,0.101121,0.089872,0.887284,False
6,Smoothing,HDBSCAN,B-Clustering,0.015516,0.000532,0.887284,False
6,FlipSchedule,HDBSCAN,B-Clustering,0.367095,0.367452,0.887284,False
6,SuddenDrop,HDBSCAN,B-Clustering,0.226933,0.221174,0.887284,False
6,SyntheticNoise,HDBSCAN,B-Clustering,0.074286,0.061867,0.887284,False
6,FlatLine,HDBSCAN,B-Clustering,0.203728,0.196956,0.887284,False
6,SpikeEvent,HDBSCAN,B-Clustering,0.120137,0.109718,0.887284,False
7,normal,HDBSCAN,B-Clustering,0.304869,0.30251,0.887284,False
7,PartialBypass,HDBSCAN,B-Clustering,0.207583,0.20098,0.887284,False
7,Smoothing,HDBSCAN,B-Clustering,0.084718,0.072754,0.887284,False
7,FlipSchedule,HDBSCAN,B-Clustering,0.616357,0.62759,0.887284,False
7,SuddenDrop,HDBSCAN,B-Clustering,0.240168,0.234986,0.887284,False
7,SyntheticNoise,HDBSCAN,B-Clustering,0.287827,0.284725,0.887284,False
7,FlatLine,HDBSCAN,B-Clustering,0.522166,0.529288,0.887284,False
7,SpikeEvent,HDBSCAN,B-Clustering,0.2638,0.25965,0.887284,False
8,normal,HDBSCAN,B-Clustering,0.235993,0.230629,0.887284,False
8,PartialBypass,HDBSCAN,B-Clustering,0.174693,0.166655,0.887284,False
8,Smoothing,HDBSCAN,B-Clustering,0.125383,0.115193,0.887284,False
8,FlipSchedule,HDBSCAN,B-Clustering,0.417645,0.420207,0.887284,False
8,SuddenDrop,HDBSCAN,B-Clustering,0.220193,0.214139,0.887284,False
8,SyntheticNoise,HDBSCAN,B-Clustering,0.248125,0.24329,0.887284,False
8,FlatLine,HDBSCAN,B-Clustering,0.345054,0.344449,0.887284,False
8,SpikeEvent,HDBSCAN,B-Clustering,0.661797,0.675012,0.887284,False
9,normal,HDBSCAN,B-Clustering,0.484611,0.490095,0.887284,False
9,PartialBypass,HDBSCAN,B-Clustering,0.166985,0.15861,0.887284,False
9,Smoothing,HDBSCAN,B-Clustering,0.311475,0.309404,0.887284,False
9,FlipSchedule,HDBSCAN,B-Clustering,0.843781,0.864936,0.887284,False
9,SuddenDrop,HDBSCAN,B-Clustering,0.211726,0.205303,0.887284,False
9,SyntheticNoise,HDBSCAN,B-Clustering,0.507413,0.513892,0.887284,False
9,FlatLine,HDBSCAN,B-Clustering,0.503458,0.509764,0.887284,False
9,SpikeEvent,HDBSCAN,B-Clustering,1.0,1.027972,0.887284,True
0,normal,IForest,C-ML,0.262057,0.262077,0.779762,False
0,PartialBypass,IForest,C-ML,0.453494,0.454444,0.779762,False
0,Smoothing,IForest,C-ML,0.130407,0.129786,0.779762,False
0,FlipSchedule,IForest,C-ML,0.327931,0.328271,0.779762,False
0,SuddenDrop,IForest,C-ML,0.59917,0.60083,0.779762,False
0,SyntheticNoise,IForest,C-ML,0.333269,0.333635,0.779762,False
0,FlatLine,IForest,C-ML,0.336223,0.336603,0.779762,False
0,SpikeEvent,IForest,C-ML,0.324766,0.32509,0.779762,False
1,normal,IForest,C-ML,0.117965,0.117284,0.779762,False
1,PartialBypass,IForest,C-ML,0.353506,0.35397,0.779762,False
1,Smoothing,IForest,C-ML,0.061144,0.060186,0.779762,False
1,FlipSchedule,IForest,C-ML,0.382579,0.383185,0.779762,False
1,SuddenDrop,IForest,C-ML,0.608858,0.610564,0.779762,False
1,SyntheticNoise,IForest,C-ML,0.157053,0.156562,0.779762,False
1,FlatLine,IForest,C-ML,0.250387,0.25035,0.779762,False
1,SpikeEvent,IForest,C-ML,0.189461,0.189127,0.779762,False
2,normal,IForest,C-ML,0.003765,0.002528,0.779762,False
2,PartialBypass,IForest,C-ML,0.369909,0.370453,0.779762,False
2,Smoothing,IForest,C-ML,0.055409,0.054424,0.779762,False
2,FlipSchedule,IForest,C-ML,0.181778,0.181407,0.779762,False
2,SuddenDrop,IForest,C-ML,0.608858,0.610564,0.779762,False
2,SyntheticNoise,IForest,C-ML,0.028336,0.027219,0.779762,False
2,FlatLine,IForest,C-ML,0.21555,0.215343,0.779762,False
2,SpikeEvent,IForest,C-ML,0.087442,0.086612,0.779762,False
3,normal,IForest,C-ML,0.139084,0.138506,0.779762,False
3,PartialBypass,IForest,C-ML,0.456501,0.457467,0.779762,False
3,Smoothing,IForest,C-ML,0.01314,0.011948,0.779762,False
3,FlipSchedule,IForest,C-ML,0.380925,0.381522,0.779762,False
3,SuddenDrop,IForest,C-ML,0.588821,0.59043,0.779762,False
3,SyntheticNoise,IForest,C-ML,0.172525,0.172109,0.779762,False
3,FlatLine,IForest,C-ML,0.256111,0.256102,0.779762,False
3,SpikeEvent,IForest,C-ML,0.139084,0.138506,0.779762,False
4,normal,IForest,C-ML,0.0,0.0,0.779762,False
4,PartialBypass,IForest,C-ML,0.421936,0.422734,0.779762,False
4,Smoothing,IForest,C-ML,0.005813,0.004586,0.779762,False
4,FlipSchedule,IForest,C-ML,0.176316,0.175919,0.779762,False
4,SuddenDrop,IForest,C-ML,0.608858,0.610564,0.779762,False
4,SyntheticNoise,IForest,C-ML,0.018528,0.017362,0.779762,False
4,FlatLine,IForest,C-ML,0.070455,0.069542,0.779762,False
4,SpikeEvent,IForest,C-ML,0.093825,0.093026,0.779762,False
5,normal,IForest,C-ML,0.071689,0.070782,0.779762,False
5,PartialBypass,IForest,C-ML,0.151782,0.151265,0.779762,False
